Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
36,ARC 25 MS,33.0,12.5,0.0,35.0,60.0,11x7x9,48.0,57.4,38.4,27.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,5.0,9.3,22.2,23.2,18.2,27.3,350.0,160.0,160.0,300.0,3020.0,
37,ARC 30 MS,42.0,16.0,0.0,40.0,80.0,14x9x12,60.0,68.0,44.0,35.2,28.0,27.0,M8x10,0,12.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,27.0,26.7,23.3,33.1,520.0,230.0,230.0,560.0,4380.0,
38,ARC 15 MN,24.0,9.5,26.0,26.0,60.0,"7,5x4,5x5,3",34.0,55.5,40.3,20.7,15.0,15.0,M4x7,0,6.0,"M3x6,5",M3x6,P3,3.5,4.5,7.5,9.8,10.9,9.9,17.5,140.0,105.0,105.0,158.0,1290.0,
39,ARC 20 MN,28.0,11.0,32.0,32.0,60.0,"9,5x6x8,5",42.0,69.0,52.0,23.0,20.0,20.0,M5x7,0,8.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,13.0,13.7,17.1,30.0,325.0,230.0,230.0,266.0,2280.0,
40,ARC 25 MN,33.0,12.5,35.0,35.0,60.0,11x7x9,48.0,81.2,62.2,27.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,5.0,9.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,420.0,3020.0,
41,ARC 30 MN,42.0,16.0,40.0,40.0,80.0,14x9x12,60.0,95.5,71.5,35.2,28.0,27.0,M8x10,0,12.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,20.8,20.5,32.8,53.7,845.0,565.0,565.0,800.0,4380.0,
42,ARC 35 MN,48.0,18.0,50.0,50.0,80.0,14x9x12,70.0,111.2,86.2,40.4,34.0,32.0,M8x13,0,14.0,M6x10,M6x7,P5,12.0,8.0,15.0,23.4,24.1,45.9,82.9,1700.0,1080.0,1080.0,1120.0,6790.0,
43,ARC 45 MN,60.0,20.5,60.0,60.0,105.0,20x14x17,86.0,135.5,102.5,50.7,45.0,39.0,M10x17,0,14.0,"PT1/8x12,5","M6x10,5",P5,14.0,11.1,18.1,27.3,27.2,71.3,122.1,3200.0,1910.0,1910.0,2120.0,10530.0,
44,ARC 55 MN,70.0,23.5,75.0,75.0,120.0,20x16x18,100.0,155.6,118.6,58.0,53.0,46.0,M12x20,0,16.0,"PT1/8x14,5","M6x12,5",P5,14.0,12.0,19.5,28.5,29.5,103.4,173.1,5030.0,3120.0,3120.0,3880.0,14060.0,
45,ARC 15 FS,24.0,18.5,0.0,41.0,60.0,"7,5x4,5x5,3",52.0,41.2,26.0,20.7,15.0,15.0,M5x7,M4,7.0,"M3x6,5",M3x6,P3,3.5,4.5,7.5,15.6,16.7,7.7,12.1,100.0,50.0,50.0,132.0,1290.0,
46,ARC 20 FS,28.0,19.5,0.0,49.0,60.0,"9,5x6x8,5",59.0,49.2,32.2,23.0,20.0,20.0,M6x10,M5,10.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,19.1,19.8,12.5,19.3,205.0,100.0,100.0,210.0,2280.0,
47,ARC 25 FS,33.0,25.0,0.0,60.0,60.0,11x7x9,73.0,57.4,38.4,27.0,23.0,23.0,M8x12,M6,12.0,"M6x7,5","M3x6,5",P4,12.0,5.0,9.3,22.2,23.2,18.2,27.3,350.0,160.0,160.0,345.0,3020.0,
48,ARC 30 FS,42.0,31.0,0.0,72.0,80.0,14x9x12,90.0,68.0,44.0,35.2,28.0,27.0,M10x15,M8,15.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,27.0,26.8,23.3,33.1,520.0,230.0,230.0,750.0,4380.0,
49,ARC 15 FN,24.0,18.5,26.0,41.0,60.0,"7,5x4,5x5,3",52.0,55.5,40.3,20.7,15.0,15.0,M5x7,M4,7.0,"M3x6,5",M3x6,P3,3.5,4.5,7.5,8.9,10.9,9.9,17.5,140.0,105.0,105.0,200.0,1290.0,
50,ARC 20 FN,28.0,19.5,32.0,49.0,60.0,"9,5x6x8,5",59.0,69.0,52.0,23.0,20.0,20.0,M6x10,M5,10.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,13.0,13.7,17.1,30.0,325.0,230.0,230.0,336.0,2280.0,
51,ARC 25 FN,33.0,25.0,35.0,60.0,60.0,11x7x9,73.0,81.2,62.2,27.0,23.0,23.0,M8x12,M6,12.0,"M6x7,5","M3x6,5",P4,12.0,5.0,9.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,524.0,3020.0,
52,ARC 30 FN,42.0,31.0,40.0,72.0,80.0,14x9x12,90.0,95.5,71.5,35.2,28.0,27.0,M10x15,M8,15.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,20.8,20.5,32.8,53.7,845.0,565.0,565.0,1200.0,4380.0,
53,ARC 35 FN,48.0,33.0,50.0,82.0,80.0,14x9x12,100.0,111.2,86.2,40.4,34.0,32.0,M10x15,M8,15.0,M6x10,M6x7,P5,12.0,8.0,15.0,23.4,24.1,45.9,82.9,1700.0,1080.0,1080.0,1580.0,6790.0,
54,ERC 25 MS,36.0,12.5,0.0,35.0,60.0,11x7x9,48.0,57.4,38.4,30.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,22.2,23.2,18.2,27.3,350.0,160.0,160.0,315.0,3020.0,
55,ERC 25 MN,36.0,12.5,35.0,35.0,60.0,11x7x9,48.0,81.2,62.2,30.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,470.0,3020.0,
56,ERC 25 ML,36.0,12.5,50.0,35.0,60.0,11x7x9,48.0,105.0,86.0,30.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,21.0,22.0,30.7,57.7,735.0,710.0,710.0,610.0,3020.0,
57,HRC 15 FN,24.0,16.0,30.0,38.0,60.0,"7,5x4,5x5,3",47.0,55.5,40.3,20.7,15.0,15.0,M5x7,M4,7.0,"M3x6,5",M3x6,P3,3.5,4.5,7.5,7.8,8.9,9.9,17.5,140.0,105.0,105.0,190.0,1290.0,
58,HRC 20 FN,30.0,21.5,40.0,53.0,60.0,"9,5x6x8,5",63.0,69.0,52.0,25.0,20.0,20.0,M6x10,M5,10.0,"M3x7,5","M3x5,5",P4,10.0,6.0,9.4,9.0,9.7,17.1,30.0,325.0,230.0,230.0,396.0,2280.0,
59,HRC 25 FN,36.0,23.5,45.0,57.0,60.0,11x7x9,70.0,81.2,62.2,30.0,23.0,23.0,M8x12,M6,12.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,11.6,12.6,24.8,42.5,540.0,385.0,385.0,626.0,3020.0,
60,HRC 30 FN,42.0,31.0,52.0,72.0,80.0,14x9x12,90.0,95.5,71.5,35.2,28.0,27.0,M10x15,M8,16.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,14.8,14.5,32.8,53.7,845.0,565.0,565.0,1110.0,4380.0,
